Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price
1699000.0,3.0,3.0,1594.0,49.2048921,-123.0333407,0.0,Yes,Yes,No,No,No,No,No,14.345550989235415
890000.0,2.0,2.0,1175.0,49.2825246,-123.1079584,0.0,Yes,No,No,No,No,No,No,13.698977865303197
2000000.0,3.0,2.0,1223.0,49.2758214,-123.1330423,0.0,Yes,Yes,Yes,No,No,No,No,14.508658238524095
1178000.0,3.0,3.0,1581.0,49.207833,-123.0291821,0.0,Yes,No,No,No,No,No,No,13.979329492089743
1695000.0,3.0,2.0,1671.0,49.2849902,-123.0463052,0.07,Yes,Yes,Yes,No,No,No,No,14.343193888767015
2599000.0,3.0,2.0,1590.0,49.2798797,-123.1373624,0.0,Yes,No,Yes,No,No,No,No,14.770637698386924
2550000.0,3.0,4.0,1537.0,49.259606,-123.2148759,0.09,Yes,No,Yes,No,No,No,No,14.751604309291395
699800.0,1.0,1.0,613.0,49.2056396,-123.0286015,0.0,Yes,Yes,No,No,No,No,No,13.458551287894412
1079900.0,2.0,2.0,916.0,49.2616057,-123.0577622,0.0,Yes,No,No,No,No,No,No,13.89237992823209
978000.0,2.0,2.0,937.0,49.2531016,-123.12788,0.0,Yes,No,Yes,No,No,No,No,13.79326597151132
1790000.0,2.0,3.0,1481.0,49.2567306,-123.1847534,0.0,Yes,Yes,Yes,No,No,No,No,14.397726736475999
1927000.0,3.0,3.0,1314.0,49.2423174,-123.1259698,0.0,Yes,Yes,No,No,No,No,No,14.47147546633773
699900.0,1.0,1.0,513.0,49.2699763,-123.1079699,0.0,Yes,Yes,No,No,No,No,No,13.45869417545215
998888.0,3.0,3.0,1381.0,49.2076557,-123.0340199,0.0,Yes,Yes,Yes,No,No,No,No,13.814398940346283
1990000.0,4.0,4.0,1510.0,49.2116829,-123.1375678,0.09,Yes,No,No,No,No,No,No,14.503645699213111
1990000.0,4.0,4.0,1509.0,49.2117372,-123.1375658,0.09,Yes,No,No,No,No,No,No,14.503645699213111
2299000.0,5.0,3.0,1398.0,49.2423174,-123.1259698,0.0,Yes,Yes,No,No,No,No,No,14.64798523871695
808000.0,1.0,1.0,555.0,49.2423174,-123.1259698,0.0,Yes,Yes,No,No,No,No,No,13.60231857512623
870000.0,2.0,1.0,725.0,49.2696259,-123.1085956,0.0,Yes,Yes,No,No,No,No,No,13.676249640055394
899000.0,1.0,2.0,945.0,49.2805013,-123.1090803,0.0,Yes,No,No,No,No,No,No,13.70903942580019
829000.0,2.0,2.0,828.0,49.2698944,-123.0744333,0.0,Yes,Yes,Yes,No,No,No,No,13.627976640389322
720000.0,1.0,1.0,615.0,49.2788035,-123.130312,0.0,Yes,Yes,Yes,No,No,No,No,13.487007879880162
629000.0,2.0,1.0,660.0,49.276762,-123.1283175,0.0,No,Yes,No,No,No,No,No,13.351888125506433
788000.0,2.0,1.0,755.0,49.2670877,-123.1132334,0.0,Yes,Yes,Yes,No,No,No,No,13.577254637874743
675000.0,1.0,1.0,558.0,49.2650635,-123.0995756,0.0,Yes,Yes,No,No,No,No,No,13.42246945133505
1150000.0,2.0,2.0,989.0,49.2803196,-123.1197318,0.0,Yes,No,No,No,No,No,No,13.955273369904273
499000.0,2.0,1.0,890.0,49.2317085,-123.1216699,0.0,Yes,Yes,No,No,No,No,No,13.120363378739663
499900.0,1.0,1.0,443.0,49.2456542,-123.1148136,0.0,Yes,No,No,No,No,No,No,13.12216535779974
2499999.0,3.0,2.0,2337.0,49.2155139,-123.0531192,0.19,No,No,Yes,No,No,No,No,14.73180128983843
1699000.0,5.0,2.0,1876.0,49.2277091,-123.0954772,0.09,Yes,Yes,Yes,No,No,No,No,14.345550989235415
725000.0,2.0,1.0,800.0,49.262105,-123.0825102,0.0,Yes,Yes,Yes,No,No,No,No,13.493928313146206
309000.0,1.0,1.0,593.0,49.2581718,-123.1043783,0.0,Yes,No,No,No,No,No,No,12.6410997921206
